matrix,family,trajectory,evaluated_law,actual_fill,actual_iterations,actual_full_census_J,eligible_stars,nu_sum,nu_sum_star_sampling_SE,nu_covered_stars,mean_rho,rho_covered_stars,estimated_J_sum,draws,normalization,matrix_sha256,rhs_sha256
as-Skitter,suitesparse,gks,gks,16749038,21,8538296.368458832,1180595,730485.5807658505,15097.574786227779,1180595,1.3069569006087953,1175969,8465139.836638028,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,gks,prufer,,,,1180595,609979.9858480272,11425.477562351854,1180595,1.179153093818907,1175969,7359352.8737582,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,gks,trace_cycle,,,,1180595,389716.7888812257,13701.588858807212,1180595,0.6891554681408052,1175969,4955451.52330214,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,gks,heavy_core_k2,,,,1180595,,,,0.7022612260624873,1175969,5019900.732127805,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,trace_cycle,gks,,,,1184583,731804.1371395595,13656.39702066841,1184583,1.307234838500002,1178955,7961656.435776424,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,trace_cycle,prufer,,,,1184583,611490.482255092,9827.450132220529,1184583,1.1608680268275673,1178955,6856837.708451112,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,trace_cycle,trace_cycle,17251989,15,5201732.8199878605,1184583,377887.9718311295,12224.849471412208,1184583,0.7023305225754594,1178955,4600701.040477249,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,trace_cycle,heavy_core_k2,,,,1184583,,,,0.7110746017054541,1178955,4665290.60076,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,heavy_core_k2,gks,,,,1184606,722671.5918368885,14729.58332519587,1184606,1.2914904018579727,1179220,7931341.090300918,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,heavy_core_k2,prufer,,,,1184606,609762.5510247619,10422.33539010698,1184606,1.166326437070532,1179220,6802394.098880516,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
