matrix,threads,seed,arm,repetitions,setup_ms,setup_ratio,find_partition_ms,find_partition_ratio,eliminate_ms,eliminate_ratio,sptrsv_setup_ms,sptrsv_setup_ratio,pcg_ms,pcg_ratio,total_ms,total_ratio
com-Amazon,36,43,t256,8,78.213,0.9928153441907107,25.6985,0.9946009753076863,25.194499999999998,0.9985929449068568,8.911000000000001,0.9994392104082549,2.2755,1.0698166431593796,80.583,0.9957184957277632
com-Amazon,36,43,t512,8,78.01150000000001,0.9902575559476512,25.7905,0.9981616224165958,25.063499999999998,0.9934007134363851,8.9585,1.004766711529834,2.125,0.9990597085096381,80.1345,0.9901766352195431
com-Amazon,36,43,t1024,8,78.1745,0.9923266352708209,25.826999999999998,0.9995742704543694,25.115000000000002,0.9954419342053112,8.965,1.0054957379991027,2.2695,1.0669957686882934,80.463,0.99423572368543
com-Amazon,36,44,base,8,78.326,1.0,25.7275,1.0,25.183500000000002,1.0,8.970500000000001,1.0,2.0775,1.0,80.4035,1.0
com-Amazon,36,44,t128,8,78.8355,1.006504864285167,25.836,1.0042172772325333,25.8295,1.0256517164016121,8.9995,1.0032328186834623,2.2715,1.09338146811071,81.338,1.011622628368168
com-Amazon,36,44,t256,8,79.09049999999999,1.0097604882159181,25.808999999999997,1.003167816538723,25.0845,0.9960688546071831,8.9875,1.001895100607547,2.2889999999999997,1.1018050541516244,81.3055,1.011218417108708
com-Amazon,36,44,t512,8,79.6865,1.0173697112070066,26.0335,1.0118938878631814,25.0605,0.9951158496634701,8.96,0.9988294966835739,2.183,1.0507821901323704,81.86949999999999,1.018233037119031
com-Amazon,36,44,t1024,8,79.275,1.0121160278834616,25.820999999999998,1.0036342435137497,25.125,0.9976770504496991,8.916,0.993924530405217,2.2030000000000003,1.0604091456077016,81.8475,1.0179594171895503
com-Amazon,72,42,base,4,69.981,1.0,24.4725,1.0,24.811999999999998,1.0,7.928000000000001,1.0,1.879,1.0,71.86,1.0
com-Amazon,72,42,t128,4,72.55799999999999,1.0368242808762378,24.3295,0.9941567065073041,24.799,0.9994760599709819,8.093,1.0208123107971745,1.746,0.9292176689728578,74.561,1.0375869746729753
com-Amazon,72,42,t256,4,69.18549999999999,0.9886326288564038,24.1965,0.9887220349371744,24.668999999999997,0.9942366596807996,8.0325,1.0131811301715439,1.8355000000000001,0.9768493879723258,71.0375,0.9885541330364597
com-Amazon,72,42,t512,4,68.719,0.9819665337734528,23.9455,0.978465624680764,24.2825,0.9786595195872965,8.018,1.0113521695257315,2.0745,1.1040447046301225,71.378,0.9932925132201503
com-Amazon,72,42,t1024,4,70.2885,1.0043940498135209,24.4485,0.9990193073858412,24.743499999999997,0.9972392390778655,8.199,1.0341826437941473,1.854,0.9866950505588079,72.1425,1.0039312552184803
com-Amazon,72,43,base,4,113.4945,1.0,24.4215,1.0,25.301,1.0,8.057500000000001,1.0,1.8225,1.0,115.34649999999999,1.0
com-Amazon,72,43,t128,4,73.18950000000001,0.64487265902753,25.5625,1.0467211268759085,25.0865,0.9915220742263152,8.164,1.013217499224325,1.8635,1.0224965706447187,75.0535,0.6506786075000108
com-Amazon,72,43,t256,4,69.72800000000001,0.6143733837322514,24.003999999999998,0.9829044080011464,24.78,0.979407928540374,8.042,0.9980763264039713,1.8125,0.9945130315500685,72.199,0.625931432683263
com-Amazon,72,43,t512,4,115.1915,1.0149522664093855,25.424999999999997,1.0410908420858667,25.728,1.0168768032884077,8.022,0.9955941669252248,1.8575,1.01920438957476,117.2325,1.016350734525972
com-Amazon,72,43,t1024,4,71.616,0.6310085510751622,24.6815,1.0106463566938968,24.477,0.9674321173076164,8.1075,1.0062053986968662,1.8795,1.031275720164609,73.4365,0.6366599766789629
com-Amazon,72,44,base,4,70.9865,1.0,24.0295,1.0,24.9555,1.0,8.077,1.0,1.8225,1.0,72.809,1.0
com-Amazon,72,44,t128,4,70.134,0.9879906742831382,24.121000000000002,1.0038078195551303,25.29,1.0134038588687864,8.063,0.998266683174446,1.8079999999999998,0.9920438957475993,71.993,0.9887925943221305
com-Amazon,72,44,t256,4,69.906,0.9847787959682475,24.217,1.0078029089244471,24.9685,1.0005209272505058,7.981999999999999,0.9882382072551689,1.8245,1.0010973936899863,71.763,0.985633644192339
com-Amazon,72,44,t512,4,70.018,0.9863565607545096,24.4,1.0154185480347073,24.656,0.9879986375748833,7.9155,0.9800049523337873,1.8325,1.0054869684499315,72.137,0.9907703717946957
com-Amazon,72,44,t1024,4,69.65549999999999,0.9812499559775448,24.4805,1.0187685969329365,24.851999999999997,0.9958526176594337,7.94,0.983038256778507,1.8275000000000001,1.0027434842249658,71.438,0.9811699103132855
com-LiveJournal,36,42,base,8,4146.874,1.0,550.6815,1.0,1222.2245,1.0,465.659,1.0,113.9645,1.0,4264.4715,1.0
com-LiveJournal,36,42,t128,8,4153.6505,1.0016341224739407,545.221,0.9900841048773201,1235.7759999999998,1.0110875702458917,467.0265,1.0029366983135728,113.418,0.9952046470611463,4268.9445,1.001048899025354
com-LiveJournal,36,42,t256,8,4129.8634999999995,0.995897994489343,555.543,1.0088281520261713,1202.1685,0.9835905760357446,467.29949999999997,1.0035229642291892,114.315,1.0030755191309575,4247.0625,0.9959176652956879
com-LiveJournal,36,42,t512,8,4131.748,0.9963524331821993,563.9825000000001,1.0241537077239748,1206.2565,0.9869352970751282,462.552,0.9933277355317948,114.008,1.0003816978094056,4246.209000000001,0.9957175232616753
com-LiveJournal,36,42,t1024,8,4161.7075,1.0035770317593447,551.6915,1.0018340910308408,1246.2235,1.019635508861097,468.7115,1.0065552260345016,113.962,0.9999780633442871,4276.126,1.002732929508381
com-LiveJournal,36,43,base,8,4109.5835,1.0,544.0595000000001,1.0,1227.0705,1.0,441.914,1.0,110.537,1.0,4218.6025,1.0
com-LiveJournal,36,43,t128,8,4098.6055,0.997328683064841,549.8009999999999,1.0105530736987405,1230.9785,1.003184821084037,440.573,0.9969654729200704,112.6765,1.0193555099197553,4216.0455,0.999393875104374
com-LiveJournal,36,43,t256,8,4118.889,1.0022643413864203,565.7615,1.039889019491434,1207.1734999999999,0.9837849577510012,438.6885,0.9927010685336966,111.4485,1.0082461076381664,4233.757,1.0035923033753475
com-LiveJournal,36,43,t512,8,4076.7205,0.9920033258844845,542.8275000000001,0.9977355417927636,1208.202,0.9846231329006768,434.45000000000005,0.9831098358504144,109.1275,0.9872486135864008,4185.5815,0.992172526328328
com-LiveJournal,36,43,t1024,8,4121.308999999999,1.0028532088470765,559.418,1.028229449168703,1231.1495,1.0033241773801913,433.321,0.9805550401209286,112.1395,1.0144974081076923,4234.0599999999995,1.0036641281087753
com-LiveJournal,36,44,base,8,4138.744500000001,1.0,543.858,1.0,1232.3235,1.0,435.182,1.0,110.1035,1.0,4248.8765,1.0
com-LiveJournal,36,44,t128,8,4128.873,0.9976148563894193,554.0035,1.0186546855980791,1239.0685,1.00547340045045,432.1415,0.9930132680120042,113.273,1.0287865508362586,4238.1455000000005,0.9974743911714073
com-LiveJournal,36,44,t256,8,4125.848,0.9968839584081596,555.365,1.0211580964148732,1216.962,0.9875345231994683,439.2605,1.009371940935057,113.428,1.0301943171652128,4241.7425,0.9983209679076339
com-LiveJournal,36,44,t512,8,4118.468,0.9951008089530531,562.3520000000001,1.0340051998867354,1207.3425,0.9797285371901129,435.42499999999995,1.0005583870656414,113.0775,1.027010948789094,4231.165000000001,0.9958314862764311
